epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,88328.5,2.07306,2.66591,0.00602,0.49205,0.19341,0.23202,0.12378,1.52176,5.45851,0.00628,7.64764e-05,7.64764e-05,7.64764e-05
76,88491.6,2.097,2.64849,0.00593,0.48083,0.19525,0.23733,0.12776,1.51497,5.47066,0.00641,7.3645e-05,7.3645e-05,7.3645e-05
77,88660.8,2.06601,2.61206,0.00588,0.4907,0.18621,0.24376,0.13109,1.48596,5.34803,0.00618,7.08136e-05,7.08136e-05,7.08136e-05
78,88824,2.0927,2.60771,0.00582,0.50056,0.17178,0.23889,0.13157,1.48137,5.28816,0.00607,6.79822e-05,6.79822e-05,6.79822e-05
79,88985.3,2.06094,2.62352,0.00602,0.50451,0.1805,0.2385,0.12935,1.47566,5.23758,0.00603,6.51508e-05,6.51508e-05,6.51508e-05
80,89164.9,2.04976,2.63339,0.006,0.48911,0.18773,0.24184,0.1295,1.48608,5.19231,0.00609,6.23194e-05,6.23194e-05,6.23194e-05
81,89327.6,2.1171,2.57794,0.00586,0.4925,0.1863,0.24146,0.12859,1.49403,5.18885,0.00614,5.9488e-05,5.9488e-05,5.9488e-05
82,89489.8,2.05019,2.50905,0.0058,0.50894,0.1752,0.24288,0.12918,1.49797,5.15514,0.00622,5.66566e-05,5.66566e-05,5.66566e-05
83,89650.1,2.06194,2.57481,0.00579,0.52055,0.17113,0.24886,0.13378,1.5012,5.16377,0.00622,5.38252e-05,5.38252e-05,5.38252e-05
84,89815,2.02134,2.58832,0.00602,0.51744,0.17092,0.24997,0.13438,1.49231,5.1331,0.00617,5.09938e-05,5.09938e-05,5.09938e-05
85,89979.7,2.05017,2.52383,0.0059,0.52382,0.17234,0.25149,0.13645,1.48711,5.11228,0.00617,4.81624e-05,4.81624e-05,4.81624e-05
86,90141.1,2.02077,2.6152,0.0062,0.52968,0.17023,0.25233,0.13769,1.48869,5.11242,0.00618,4.5331e-05,4.5331e-05,4.5331e-05
87,90304.4,2.05007,2.56553,0.00611,0.5384,0.16693,0.25751,0.14312,1.49145,5.06686,0.00616,4.24996e-05,4.24996e-05,4.24996e-05
88,90478.9,2.07077,2.57948,0.0058,0.54451,0.16198,0.25142,0.13938,1.50116,5.07937,0.00613,3.96682e-05,3.96682e-05,3.96682e-05
89,90647,2.07101,2.60883,0.00585,0.52239,0.16892,0.26151,0.14466,1.48898,5.08447,0.0061,3.68368e-05,3.68368e-05,3.68368e-05
90,90816.9,2.10036,2.51943,0.00589,0.52589,0.17038,0.26246,0.14544,1.48496,5.03018,0.0061,3.40054e-05,3.40054e-05,3.40054e-05
91,90973.4,1.93987,3.16083,0.00643,0.5347,0.17203,0.23798,0.12432,1.49585,5.00452,0.00625,3.1174e-05,3.1174e-05,3.1174e-05
92,91133.3,1.93554,3.19164,0.00615,0.46191,0.22844,0.23663,0.12093,1.51394,5.1397,0.00639,2.83426e-05,2.83426e-05,2.83426e-05
93,91285.5,1.94499,3.18427,0.00645,0.49215,0.21202,0.22996,0.11568,1.5306,5.25061,0.00643,2.55112e-05,2.55112e-05,2.55112e-05
94,91439.9,1.90414,3.11215,0.00653,0.51571,0.19445,0.22963,0.1156,1.54285,5.33887,0.00649,2.26798e-05,2.26798e-05,2.26798e-05
95,91596.8,1.89494,3.11986,0.0066,0.48215,0.22013,0.22891,0.11593,1.55124,5.32166,0.00656,1.98484e-05,1.98484e-05,1.98484e-05
96,91754.5,1.89927,3.03695,0.00661,0.48219,0.21953,0.23061,0.11504,1.56234,5.31386,0.00669,1.7017e-05,1.7017e-05,1.7017e-05
97,91915.3,1.89038,2.99608,0.00642,0.48318,0.23187,0.23227,0.11605,1.5537,5.24589,0.00666,1.41856e-05,1.41856e-05,1.41856e-05
98,92084.8,1.94083,3.19269,0.00717,0.49508,0.21781,0.23207,0.11644,1.55428,5.22262,0.00664,1.13542e-05,1.13542e-05,1.13542e-05
99,92246,1.93593,3.0501,0.00678,0.49569,0.21219,0.23463,0.1189,1.54947,5.27763,0.00663,8.5228e-06,8.5228e-06,8.5228e-06
100,92407.2,1.94088,2.97272,0.00644,0.49774,0.21482,0.2358,0.11947,1.54307,5.24919,0.0066,5.6914e-06,5.6914e-06,5.6914e-06
